"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C22,C10,C54,C8,C24,C61,C6,C58,C7,C20";"CP_Radial_D5.0mm_P2.50mm";10;"10uF";;;
2;"D10,D9,D11,D7,D8";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"LED";;;
3;"C29,C21,C37,C35,C62,C55,C14,C23,C30,C12,C4,C16,C3,C18,C31,C19,C32,C13,C51,C11,C53,C45,C5,C33";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";24;"100nF";;;
4;"J2,J1";"TerminalBlock_4Ucon_1x04_P3.50mm_Vertical";2;"Screw_Terminal_01x04";;;
5;"C1,C9,C2";"CP_Radial_D8.0mm_P3.50mm";3;"1000uF/35V";;;
6;"R12,R46,R13,R55,R49,R50,R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"100";;;
7;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"AN_IN";;;
8;"C40,C39";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100pF";;;
9;"U9";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADuM1402ARWZ";;;
10;"C17,C38,C27,C25,C36,C26,C15,C28,C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"1uF";;;
11;"C43";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4,7uF";;;
12;"U4";"TO-220-3_Vertical";1;"LM7812_TO220";;;
13;"R18,R60,R56,R57,R59,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"100k";;;
14;"U14,U15";"RELAY_TQ2_SA_PAN";2;"TQ2SA-5V";;;
15;"R65,R69,R64,R11,R40,R28,R38,R6,R58,R5,R10,R54,R62,R39,R22,R63,R4,R61,R41,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";20;"10k";;;
16;"IC1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"BD37033FV-ME2";;;
17;"R68,R67";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.5k";;;
18;"D6,D4,D5,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007";;;
19;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"IR";;;
20;"U12";"ESP_C3_SUPERMINI_MINE_SMD";1;"~";;;
21;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Encoder";;;
22;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"OUT_R";;;
23;"U6,U7";"TO-220-3_Vertical";2;"LM7805_TO220";;;
24;"U5";"TO-220-3_Vertical";1;"LM7912_TO220";;;
25;"R17,R16,R21,R23,R29,R24,R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"22k";;;
26;"J8";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
27;"K3";"Relay_DPDT_Finder_40.62";1;"HF115F-2Z-x4";;;
28;"U10,U11";"SOIC-8_3.9x4.9mm_P1.27mm";2;"DRV135UA";;;
29;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"OUT_L";;;
30;"C63,C59,C60,C64";"C_Disc_D8.0mm_W5.0mm_P5.00mm";4;"2.2uF";;;
31;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"PWR_LED";;;
32;"K2";"RELAY_PR30-12V-450-1A";1;"PR30-12V-450-1A";;;
33;"C56,C42,C57,C41,C44,C48";"C_Disc_D8.0mm_W5.0mm_P5.00mm";6;"1uF";;;
34;"J3,J5,J4";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";3;"Screw_Terminal_01x02";;;
35;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"DIG_IN";;;
36;"U2";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"PGA2320UA";;;
37;"J14";"PinSocket_1x02_P2.54mm_Vertical";1;"PWR_BTN";;;
38;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"I2C";;;
39;"R42,R45";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"33R";;;
40;"R15,R14,R34,R52,R47,R33,R51,R8,R36,R53,R48,R3,R7,R32,R2,R35,R1,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";18;"1k";;;
41;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OPA1612AxD";;;
42;"R66";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.6k";;;
43;"HS1";"Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm";1;"Heatsink_Pad";;;
44;"D1,D2";"TSSOP-4_4.4x5mm_P4mm";2;"MDB8S";;;
45;"U13";"TO-92_Inline";1;"L78L08_TO92";;;
46;"R31,R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"9.1k";;;
47;"Q1,Q2,Q3,Q5,Q4";"SOT-23";5;"BC847";;;
48;"C50";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
49;"A1";"RaspberryPi_Pico_Common_SMD";1;"RaspberryPi_Pico";;;
50;"C47";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pf";;;
51;"C52";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
52;"R43,R44";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7k";;;
53;"C46,C49";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1nF";;;
54;"R26,R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15k";;;
55;"U8";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP6004";;;
56;"U3";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74AHCT125";;;
